Nivel de riesgo,Score riesgo,Alias,No. Serie,Marca,Modelo,Distribuidor,Estado,Horómetro,Edad equipo,Total servicios,Cerrados,Cerrada fuera,Pendientes,Backlog,Atraso máx hrs,Atraso prom hrs,T. Encendido hrs,Distancia,Última fecha mant.,Motivo clasificación
Crítico,76.7,ATC - S508140M,S508140M-8105158,NEW HOLLAND AG,7610S HERENCIA,Desconocido,Desconocido,0.0,4,17,5,6,6,12,1209,909.0,0.0,0.0,2024-12-01 15:56:00,12 servicio(s) pendiente/fuera; atraso máx. 1209 hrs
Crítico,76.7,ATN - S306406M,S306406M,NEW HOLLAND AG,6610S HERENCIA,Desconocido,Desconocido,0.0,4,15,4,0,11,11,1920,1020.0,0.0,0.0,2025-11-07 09:25:00,11 servicio(s) pendiente/fuera; atraso máx. 1920 hrs
Crítico,76.7,ELITE - 4100032M-353738101250338,4100032M-001862923,NEW HOLLAND AG,TS6.120 ELITE,Desconocido,Desconocido,0.0,4,10,0,0,10,10,1860,1860.0,0.0,0.0,2024-05-01 10:31:00,10 servicio(s) pendiente/fuera; atraso máx. 1860 hrs
Crítico,76.5,TRACAS - S508662M,S508662M-8113426,NEW HOLLAND AG,7610S HERENCIA,TRACSAGRAL,Baja California Sur,1157.4,3,6,0,0,6,6,1107,694.5,8.5,13.2,2025-06-10 13:59:00,6 servicio(s) pendiente/fuera; atraso máx. 1107 hrs
Crítico,76.3,ARBSA - S507968M,S507968M-8097223,NEW HOLLAND AG,7610S HERENCIA,ARBSA,Guanajuato,1091.0,4,108,0,4,104,108,1040,627.5,8.8,93.8,2025-11-11 15:58:00,108 servicio(s) pendiente/fuera; atraso máx. 1040 hrs
Crítico,76.3,MADISA-866392068819691,S306839M-8117596,NEW HOLLAND AG,6610S HERENCIA,MADISAGRAL,Veracruz de Ignacio de la Llave,1146.9,3,6,0,2,4,6,1098,685.5,5.9,11.9,2024-05-12 15:07:00,6 servicio(s) pendiente/fuera; atraso máx. 1098 hrs
Crítico,76.1,862407061522631,S509353M-8130649,NEW HOLLAND AG,7610S HERENCIA,ATN,Durango,1197.9,2,5,0,0,5,5,1150,737.5,4.7,2.8,2024-05-12 10:48:00,5 servicio(s) pendiente/fuera; atraso máx. 1150 hrs
Crítico,76.0,ATC - 862407060140187,S306943M-8122006,NEW HOLLAND AG,6610S HERENCIA,ATN,Chihuahua,1138.0,3,4,0,0,4,4,1088,675.5,2.2,3.1,2024-04-10 18:47:00,4 servicio(s) pendiente/fuera; atraso máx. 1088 hrs
Crítico,75.9,866392063348456,NH10952M-002142274,NEW HOLLAND AG,TS6.140,TEPSA,Puebla,1194.1,2,5,0,0,5,5,1144,731.5,7.7,27.5,2024-05-12 10:15:00,5 servicio(s) pendiente/fuera; atraso máx. 1144 hrs
Crítico,75.8,862407061476184,S509308M-8130065,NEW HOLLAND AG,7610S HERENCIA,ATN,Chihuahua,1191.5,2,5,0,0,5,5,1141,728.5,5.4,5.1,2025-01-09 12:52:00,5 servicio(s) pendiente/fuera; atraso máx. 1141 hrs
Crítico,75.7,862407062888775,S509576M-6306439,NEW HOLLAND AG,7610S HERENCIA,ATC,Guanajuato,1183.5,2,15,0,3,12,15,1137,724.5,7.8,34.3,2025-04-03 00:23:00,15 servicio(s) pendiente/fuera; atraso máx. 1137 hrs
Crítico,75.5,862407061535112,S509160M-8127558,NEW HOLLAND AG,7610S HERENCIA,ATN,Durango,1177.5,2,5,0,0,5,5,1131,718.5,10.2,52.6,2025-04-10 10:57:00,5 servicio(s) pendiente/fuera; atraso máx. 1131 hrs
Crítico,75.5,866392066954813,S508734M-8117898,NEW HOLLAND AG,7610S HERENCIA,TRACSAGRAL,Aguascalientes,1122.7,3,4,0,0,4,4,1072,659.5,0.0,0.0,2025-03-08 22:24:00,4 servicio(s) pendiente/fuera; atraso máx. 1072 hrs
Crítico,75.5,862407063625515,S33844M-8015976,NEW HOLLAND AG,6610S,MADISAGRAL,Nayarit,9254.6,1,4,0,2,2,4,554,404.0,10.8,1.0,2025-11-07 09:27:00,4 servicio(s) pendiente/fuera; atraso máx. 554 hrs; horómetro alto 9255 hrs
Crítico,75.4,866392066989728,4100432M-002048086,NEW HOLLAND AG,TS6.120 ELITE,ATN,Zacatecas,1117.3,3,6,0,0,6,6,1067,654.5,0.0,0.0,2025-09-09 07:57:00,6 servicio(s) pendiente/fuera; atraso máx. 1067 hrs
Crítico,75.4,862407060141722,S306972M-8122004,NEW HOLLAND AG,6610S HERENCIA,TAPSA,Puebla,1173.3,2,5,0,0,5,5,1127,714.5,11.4,25.8,2024-05-11 06:44:00,5 servicio(s) pendiente/fuera; atraso máx. 1127 hrs
Crítico,75.4,862407060168121,5801528M-728386395,NEW HOLLAND AG,7810,TRACSAGRAL,Jalisco,1114.7,3,4,0,0,4,4,1066,653.5,5.8,23.8,2024-06-08 21:39:00,4 servicio(s) pendiente/fuera; atraso máx. 1066 hrs
Crítico,75.3,DASSA - 4100332M,4100332M-002035526,NEW HOLLAND AG,6610S HERENCIA,DASSA,Sinaloa,1112.3,3,13,0,0,13,13,1064,651.5,8.0,34.1,2025-10-10 16:59:00,13 servicio(s) pendiente/fuera; atraso máx. 1064 hrs
Crítico,75.3,ATN - 866392065430583,4100467M-002092927,NEW HOLLAND AG,TS6.120 ELITE,ATN,Durango,1112.6,3,13,0,0,13,13,1062,649.5,0.0,0.0,2025-11-07 09:31:00,13 servicio(s) pendiente/fuera; atraso máx. 1062 hrs
Crítico,75.2,866016064560294,4100486M-002110731,NEW HOLLAND AG,TS6.120 ELITE,TRACSAGRAL,Jalisco,1170.7,2,5,0,0,5,5,1120,707.5,1.3,0.4,2024-06-08 20:15:00,5 servicio(s) pendiente/fuera; atraso máx. 1120 hrs
Crítico,75.2,862407061734962,4100523M-002145527,NEW HOLLAND AG,TS6.120 ELITE,TRACSAGRAL,Zacatecas,1165.7,2,5,0,0,5,5,1119,706.5,8.9,31.4,2025-05-11 15:59:00,5 servicio(s) pendiente/fuera; atraso máx. 1119 hrs
Crítico,75.1,862407061487603,5801627M-727427925,NEW HOLLAND AG,6810,TEPSA,Puebla,1163.6,2,18,1,0,17,17,1116,649.3,1.3,0.6,2025-03-03 23:59:00,17 servicio(s) pendiente/fuera; atraso máx. 1116 hrs
Crítico,75.1,862407062106210,S509449M-8130644,NEW HOLLAND AG,7610S HERENCIA,TEPSA,Puebla,1166.2,2,5,1,0,4,4,1116,649.3,2.5,12.3,2025-08-10 11:22:00,4 servicio(s) pendiente/fuera; atraso máx. 1116 hrs
Crítico,75.1,866016064327439,S204799M-8122379,NEW HOLLAND AG,6610S HERENCIA,ATN,Durango,1108.9,3,4,0,0,4,4,1058,645.5,0.0,0.0,2024-06-08 20:58:00,4 servicio(s) pendiente/fuera; atraso máx. 1058 hrs
Crítico,75.0,ATN-S204722M-8108772,S204722M,NEW HOLLAND AG,6610S HERENCIA,Desconocido,Desconocido,0.0,3,8,0,0,8,8,2242,1235.8,0.0,0.0,2025-03-08 21:50:00,8 servicio(s) pendiente/fuera; atraso máx. 2242 hrs
Crítico,75.0,862407060155458,S508955M-8124546,NEW HOLLAND AG,7610S HERENCIA,Desconocido,Desconocido,0.0,3,8,0,0,8,8,2181,1174.8,0.0,0.0,2025-03-10 13:59:00,8 servicio(s) pendiente/fuera; atraso máx. 2181 hrs
Crítico,75.0,ATN - S402862M,S402862M-8107446,NEW HOLLAND AG,7610S HERENCIA,Desconocido,Desconocido,0.0,3,8,0,0,8,8,2131,1231.0,0.0,0.0,2025-04-02 07:21:00,8 servicio(s) pendiente/fuera; atraso máx. 2131 hrs
Crítico,75.0,ATN-NH10657M-002008196,NH10657M,NEW HOLLAND AG,TS6.110,Desconocido,Desconocido,0.0,3,7,0,0,7,7,2197,1039.9,0.0,0.0,2025-11-07 09:21:00,7 servicio(s) pendiente/fuera; atraso máx. 2197 hrs
Crítico,75.0,866016064542672,S508941M-8125648,NEW HOLLAND AG,7610S HERENCIA,Desconocido,Desconocido,0.0,3,7,0,0,7,7,1712,1003.7,0.0,0.0,2025-08-12 08:45:00,7 servicio(s) pendiente/fuera; atraso máx. 1712 hrs
Crítico,75.0,MADISA - NH10469M,NH10469M-001968322,NEW HOLLAND AG,TS6.110,Desconocido,Desconocido,0.0,3,7,0,0,7,7,1646,896.0,0.0,0.0,2024-03-03 19:57:00,7 servicio(s) pendiente/fuera; atraso máx. 1646 hrs
Crítico,75.0,866392069090086,HFJ185055-618024,CASE IH,95JX,Desconocido,Desconocido,0.0,3,7,0,0,7,7,1367,767.0,0.0,0.0,2025-08-12 09:52:00,7 servicio(s) pendiente/fuera; atraso máx. 1367 hrs
Crítico,75.0,866016064557084,NH10861M-002052317,NEW HOLLAND AG,TS6.140,Desconocido,Desconocido,0.0,3,6,0,0,6,6,1531,781.0,0.0,0.0,2025-11-07 10:01:00,6 servicio(s) pendiente/fuera; atraso máx. 1531 hrs
Crítico,75.0,866016061358023,NKJ0B80CJPKH36572-48-415187,NEW HOLLAND CE,B80C,Desconocido,Desconocido,0.0,3,6,0,0,6,6,1521,812.7,0.0,0.0,2025-11-07 09:30:00,6 servicio(s) pendiente/fuera; atraso máx. 1521 hrs
Crítico,75.0,ATN - S306774M,S306774M,NEW HOLLAND AG,6610S HERENCIA,Desconocido,Desconocido,0.0,3,5,0,0,5,5,1458,858.0,0.0,0.0,2025-11-07 09:28:00,5 servicio(s) pendiente/fuera; atraso máx. 1458 hrs
Crítico,75.0,866392061479956,NKJ0B80CTPKH33506-48-395672,NEW HOLLAND CE,B80C,Desconocido,Desconocido,0.0,3,5,0,0,5,5,1300,700.0,0.0,0.0,2025-11-07 09:20:00,5 servicio(s) pendiente/fuera; atraso máx. 1300 hrs
Crítico,74.9,862407061575464,NH10980M-002048185,NEW HOLLAND AG,TS6.125,ATN,Chihuahua,1157.2,2,4,0,0,4,4,1108,695.5,9.9,10.1,2025-01-06 08:55:00,4 servicio(s) pendiente/fuera; atraso máx. 1108 hrs
Crítico,74.9,862407061504381,HFJ185725-648420,CASE IH,FARMALL JX110,TRACSAGRAL,Guanajuato,1157.9,2,4,0,0,4,4,1107,694.5,0.0,0.0,2025-11-07 09:32:00,4 servicio(s) pendiente/fuera; atraso máx. 1107 hrs
Crítico,74.9,TEPSA - NH10658M,NH10658M-002008205,NEW HOLLAND AG,TS6.110,TEPSA,Puebla,1099.6,3,4,0,0,4,4,1049,636.5,0.0,0.0,2025-07-02 16:15:00,4 servicio(s) pendiente/fuera; atraso máx. 1049 hrs
Crítico,74.9,866392066775796,S508729M-8117912,NEW HOLLAND AG,7610S HERENCIA,TRACSAGRAL,Jalisco,1096.8,3,4,0,0,4,4,1048,635.5,0.0,0.0,2025-11-07 09:32:00,4 servicio(s) pendiente/fuera; atraso máx. 1048 hrs
Crítico,74.8,ARBSA - S507966M,S507966M-8097225,NEW HOLLAND AG,7610S HERENCIA,ARBSA,Guanajuato,1036.6,4,52,0,4,48,52,986,573.5,7.1,10.3,2025-11-07 11:31:00,52 servicio(s) pendiente/fuera; atraso máx. 986 hrs
Crítico,74.7,862407061504548,T050700M-715411674,NEW HOLLAND AG,TT75,AGROCISAGRAL,Mexico,1152.1,2,16,0,4,12,16,1103,690.5,8.9,0.7,2025-04-09 19:25:00,16 servicio(s) pendiente/fuera; atraso máx. 1103 hrs
Crítico,74.7,TRACSA - S508550M,S508550M-8110209,NEW HOLLAND AG,7610S HERENCIA,TRACSAGRAL,Jalisco,1091.9,3,4,0,0,4,4,1044,631.5,10.4,2.2,2025-03-08 21:59:00,4 servicio(s) pendiente/fuera; atraso máx. 1044 hrs
Crítico,74.7,TRACSA - 5801358M,5801358M-727367850,NEW HOLLAND AG,6810,TRACSAGRAL,Durango,1092.4,3,4,0,0,4,4,1042,629.5,0.0,0.0,2024-06-08 20:29:00,4 servicio(s) pendiente/fuera; atraso máx. 1042 hrs
Crítico,74.4,MADISA-S507770M,S507770M-8091912,NEW HOLLAND AG,7610S HERENCIA,MADISAGRAL,Tabasco,1023.0,4,7,0,3,4,7,973,560.5,0.0,0.0,2025-12-07 15:20:00,7 servicio(s) pendiente/fuera; atraso máx. 973 hrs
Crítico,74.3,ENAGRI - 866392069008708,S508769M-8122184,NEW HOLLAND AG,7610S HERENCIA,ENAGRI,Nayarit,1078.0,3,13,0,0,13,13,1027,614.5,0.0,0.0,2024-06-08 20:17:00,13 servicio(s) pendiente/fuera; atraso máx. 1027 hrs
Crítico,74.2,DASSA - 4100333M,4100333M-002034661,NEW HOLLAND AG,7610S HERENCIA,DASSA,Sinaloa,1071.3,3,8,0,0,8,8,1024,611.5,9.8,57.9,2025-03-11 10:54:00,8 servicio(s) pendiente/fuera; atraso máx. 1024 hrs
Crítico,74.2,862407061477661,S509313M-8130077,NEW HOLLAND AG,7610S HERENCIA,ATN,Chihuahua,1135.0,2,4,0,0,4,4,1085,672.5,3.7,4.0,2024-05-11 21:46:00,4 servicio(s) pendiente/fuera; atraso máx. 1085 hrs
Crítico,74.2,862407062127596,5801753M-727440025,NEW HOLLAND AG,6810,TEPSA,Oaxaca,1132.7,2,4,0,0,4,4,1084,671.5,10.4,17.6,2025-08-01 12:16:00,4 servicio(s) pendiente/fuera; atraso máx. 1084 hrs
Crítico,74.0,862407060171224,S509151M-8127562,NEW HOLLAND AG,7610S HERENCIA,ATN,Zacatecas,1124.5,2,6,0,0,6,6,1078,665.5,11.6,30.9,2025-05-06 09:03:00,6 servicio(s) pendiente/fuera; atraso máx. 1078 hrs
Crítico,74.0,862407061526814,S509213M-8129150,NEW HOLLAND AG,7610S HERENCIA,ATN,Durango,1125.2,2,4,0,0,4,4,1075,662.5,0.0,0.0,2025-11-07 09:33:00,4 servicio(s) pendiente/fuera; atraso máx. 1075 hrs
Crítico,73.9,866016064552762,S508978M-8124339,NEW HOLLAND AG,7610S HERENCIA,TEPSA,Veracruz de Ignacio de la Llave,1063.0,3,4,0,0,4,4,1016,603.5,13.3,13.5,2024-04-10 19:24:00,4 servicio(s) pendiente/fuera; atraso máx. 1016 hrs
Crítico,73.8,ENAGRI - 4100156M,4100156M-001966578,NEW HOLLAND AG,TS6.140,ENAGRI,Nayarit,1061.2,3,74,1,0,73,73,1011,744.3,2.7,1.0,2025-11-11 14:19:00,73 servicio(s) pendiente/fuera; atraso máx. 1011 hrs
Crítico,73.7,ARBSA - S507989M,S507989M-8097235,NEW HOLLAND AG,7610S HERENCIA,ARBSA,Guanajuato,993.5,4,46,0,4,42,46,949,536.5,8.3,17.3,2025-11-07 10:06:00,46 servicio(s) pendiente/fuera; atraso máx. 949 hrs
Crítico,73.7,862407061498758,NH11090M-002175107,NEW HOLLAND AG,TS6.120,TRACSAGRAL,Zacatecas,1112.3,2,4,0,0,4,4,1067,654.5,10.3,25.0,2024-11-12 10:57:00,4 servicio(s) pendiente/fuera; atraso máx. 1067 hrs
Crítico,73.6,866016064408353,5801520M-728383436,NEW HOLLAND AG,7810,AGROCISAGRAL,Jalisco,1050.6,3,17,3,1,13,14,1002,1002.0,3.2,4.6,2025-11-07 09:20:00,14 servicio(s) pendiente/fuera; atraso máx. 1002 hrs
Crítico,73.6,ATS - S509231M - 862407061508671,S509231M-8130100,NEW HOLLAND AG,7610S HERENCIA,ATS,Veracruz de Ignacio de la Llave,1109.3,2,14,1,2,11,13,1064,597.3,14.0,74.5,2025-11-01 08:31:00,13 servicio(s) pendiente/fuera; atraso máx. 1064 hrs
Crítico,73.5,ALTENOS - S306791M,S306791M-8114115,NEW HOLLAND AG,6610S HERENCIA,altenos,Oaxaca,1051.1,3,8,0,4,4,8,1001,588.5,0.0,0.0,,8 servicio(s) pendiente/fuera; atraso máx. 1001 hrs
Crítico,73.5,866392065072765,HFJ185092-626733,CASE IH,FARMALL JX100,TRIOSA,Oaxaca,1051.7,3,4,0,0,4,4,1001,588.5,0.0,0.0,2024-06-08 15:55:00,4 servicio(s) pendiente/fuera; atraso máx. 1001 hrs
Crítico,73.4,866392067721708,NH10728M-002008673,NEW HOLLAND AG,TS6.110,altenos,Jalisco,1044.8,3,43,0,4,39,43,997,584.5,4.9,6.5,2025-06-10 13:01:00,43 servicio(s) pendiente/fuera; atraso máx. 997 hrs
Crítico,73.3,48-P023147-TT75,T049490M-715307453,NEW HOLLAND AG,TT75,MADISAGRAL,Hidalgo,5911.1,5,18,1,0,17,17,211,211.0,0.0,0.0,2024-11-01 03:39:00,17 servicio(s) pendiente/fuera
Crítico,73.3,862407061555581,H101301M-8123225,NEW HOLLAND AG,TS6000,Desconocido,Desconocido,0.0,2,11,0,0,11,11,2361,1354.8,0.0,0.0,2025-11-07 09:30:00,11 servicio(s) pendiente/fuera; atraso máx. 2361 hrs
Crítico,73.3,866016064473639,Desconocido,NEW HOLLAND AG,TT75,Desconocido,Desconocido,0.0,2,11,0,0,11,11,1442,882.0,0.0,0.0,,11 servicio(s) pendiente/fuera; atraso máx. 1442 hrs
Crítico,73.3,862407060169996,NH10929M-002140717,NEW HOLLAND AG,TS6.120,Desconocido,Desconocido,0.0,2,10,0,0,10,10,2672,1472.0,0.0,0.0,2025-05-06 09:01:00,10 servicio(s) pendiente/fuera; atraso máx. 2672 hrs
Crítico,73.3,862407061571752,H101299M-8123221,NEW HOLLAND AG,TS6000,Desconocido,Desconocido,0.0,2,8,0,0,8,8,2293,1286.8,0.0,0.0,2025-11-07 09:56:00,8 servicio(s) pendiente/fuera; atraso máx. 2293 hrs
Crítico,73.3,ENAGRI - S306203M,S306203M-8085284,NEW HOLLAND AG,6610S HERENCIA,ENAGRI,Sinaloa,2999.0,5,10,3,0,7,7,598,448.0,0.0,0.0,2024-01-03 09:35:00,7 servicio(s) pendiente/fuera; atraso máx. 598 hrs
Crítico,73.2,TRACTIESA-5801327M-727369051,5801327M-727369051,NEW HOLLAND AG,6810,TRACTIESA,Mexico,1041.3,3,6,0,2,4,6,991,578.5,0.2,0.0,,6 servicio(s) pendiente/fuera; atraso máx. 991 hrs
Crítico,73.1,862407060172263,S509052M-8125758,NEW HOLLAND AG,7610S HERENCIA,ATN,Hidalgo,1094.6,2,15,0,4,11,15,1045,632.5,3.3,16.6,2024-11-03 07:15:00,15 servicio(s) pendiente/fuera; atraso máx. 1045 hrs
Crítico,73.1,MADISA-R-T049660M-353738100943875,T049660M-715329906,NEW HOLLAND AG,TT75,MADISAGRAL,San Luis Potosi,4639.6,4,7,0,1,6,7,439,289.0,0.0,0.0,2025-05-06 09:01:00,7 servicio(s) pendiente/fuera; atraso máx. 439 hrs
Crítico,73.1,CAPASA - HFJ183535,HFJ183535-583913,CASE IH,FARMALL JX100,CAPASA,Sinaloa,978.4,4,6,0,0,6,6,928,515.5,0.0,3.2,2024-10-12 16:05:00,6 servicio(s) pendiente/fuera; atraso máx. 928 hrs
Crítico,72.8,866016064472755,5801542M-728382774,NEW HOLLAND AG,7810,TRACSAGRAL,Jalisco,1083.3,2,24,0,0,24,24,1033,620.5,0.0,0.0,2025-11-07 09:32:00,24 servicio(s) pendiente/fuera; atraso máx. 1033 hrs
Crítico,72.8,862407061536490,HFJ185767-650457,CASE IH,FARMALL JX110,TRACSAGRAL,Zacatecas,1084.2,2,4,0,0,4,4,1034,621.5,0.0,0.0,2025-10-09 11:24:00,4 servicio(s) pendiente/fuera; atraso máx. 1034 hrs
Crítico,72.7,MADISA-T050044M,T050044M-715348536,NEW HOLLAND AG,TT75,MADISAGRAL,Chihuahua,80.0,5,9,0,1,8,9,964,514.0,0.0,0.0,2025-11-07 17:13:00,9 servicio(s) pendiente/fuera; atraso máx. 964 hrs
Crítico,72.7,TRACSA - S402786M,S402786M-8099869,NEW HOLLAND AG,7610S HERENCIA,TRACSAGRAL,San Luis Potosi,963.1,4,8,0,0,8,8,913,500.5,5.8,17.4,2025-11-07 09:44:00,8 servicio(s) pendiente/fuera; atraso máx. 913 hrs
Crítico,72.7,ATN - 5801045M,5801045M,NEW HOLLAND AG,6810,ATN,Chihuahua,1186.0,4,5,0,0,5,5,885,585.0,0.0,0.0,2024-04-10 19:39:00,5 servicio(s) pendiente/fuera; atraso máx. 885 hrs
Crítico,72.7,862407060167750,HFJ185583-643993,CASE IH,FARMALL JX100,TRACSAGRAL,Jalisco,1078.7,2,4,0,0,4,4,1030,617.5,6.4,7.6,2025-01-12 11:26:00,4 servicio(s) pendiente/fuera; atraso máx. 1030 hrs
Crítico,72.5,MADISA - NH09726M,NH09726M-001862863,NEW HOLLAND AG,TS6.110,MADISAGRAL,Veracruz de Ignacio de la Llave,3500.4,5,11,1,1,9,10,500,350.0,0.0,0.0,2025-11-07 09:25:00,10 servicio(s) pendiente/fuera; atraso máx. 500 hrs
Crítico,72.4,353738102963707,S56980M-8071057,NEW HOLLAND AG,7610S,Desconocido,Desconocido,0.0,5,17,3,0,14,14,961,511.0,0.0,0.0,2024-03-05 15:45:00,14 servicio(s) pendiente/fuera; atraso máx. 961 hrs
Crítico,72.4,TRACSA - NH10499M,NH10499M-002021124,NEW HOLLAND AG,TS6.120,TRACSAGRAL,Aguascalientes,1012.7,3,11,0,0,11,11,962,549.5,0.0,0.0,2024-05-12 10:15:00,11 servicio(s) pendiente/fuera; atraso máx. 962 hrs
Crítico,72.4,S507589M-8088328,S507589M-8088328,NEW HOLLAND AG,7610S HERENCIA,Desconocido,Desconocido,0.0,5,10,0,0,10,10,962,512.0,0.0,0.0,2025-11-07 10:06:00,10 servicio(s) pendiente/fuera; atraso máx. 962 hrs
Crítico,72.4,ALTENOS - S204663M,S204663M-8103414,NEW HOLLAND AG,6610S HERENCIA,altenos,Oaxaca,1174.9,4,10,0,5,5,10,874,574.0,0.0,0.0,2025-11-07 09:24:00,10 servicio(s) pendiente/fuera; atraso máx. 874 hrs
Crítico,72.3,MADISA-NH10590M-002033026,NH10590M-002033026,NEW HOLLAND AG,TS6.125,MADISAGRAL,Guanajuato,1006.2,3,24,0,0,24,24,956,543.5,0.0,0.0,2025-03-12 10:00:00,24 servicio(s) pendiente/fuera; atraso máx. 956 hrs
Crítico,72.2,TRACSA - NH10231M,NH10231M-001924095,NEW HOLLAND AG,TS6.120,TRACSAGRAL,Jalisco,944.4,4,7,0,0,7,7,894,481.5,0.0,0.0,,7 servicio(s) pendiente/fuera; atraso máx. 894 hrs
Crítico,72.2,862407061505420,S509291M-8130023,NEW HOLLAND AG,7610S HERENCIA,ATN,Coahuila de Zaragoza,1063.3,2,4,0,0,4,4,1014,601.5,0.7,2.3,2025-05-06 22:16:00,4 servicio(s) pendiente/fuera; atraso máx. 1014 hrs
Crítico,72.2,862407061405803,S307007M-8123663,NEW HOLLAND AG,6610S HERENCIA,TRACSAGRAL,Zacatecas,1060.7,2,4,0,0,4,4,1012,599.5,1.1,5.1,2025-08-09 15:00:00,4 servicio(s) pendiente/fuera; atraso máx. 1012 hrs
Crítico,72.1,TEPSA - S508618M,S508618M-8112798,NEW HOLLAND AG,7610S HERENCIA,TEPSA,Puebla,998.3,3,23,2,0,21,21,951,526.0,10.2,19.6,2025-10-02 11:11:00,21 servicio(s) pendiente/fuera; atraso máx. 951 hrs
Crítico,72.1,862407061652529,S509464M-6302390,NEW HOLLAND AG,7610S HERENCIA,TRACSAGRAL,Jalisco,1057.5,2,10,0,0,10,10,1008,595.5,0.0,0.0,2025-12-02 15:50:00,10 servicio(s) pendiente/fuera; atraso máx. 1008 hrs
Crítico,72.1,860092059799730,NH10406M-001963590,NEW HOLLAND AG,TS6.125,Desconocido,Desconocido,0.0,4,6,0,0,6,6,1018,568.0,0.0,0.0,2024-09-01 20:19:00,6 servicio(s) pendiente/fuera; atraso máx. 1018 hrs
Crítico,72.0,TRACSA - 5800788M,5800788M,NEW HOLLAND AG,7810,TRACSAGRAL,Jalisco,937.2,4,26,0,0,26,26,887,620.3,0.0,0.0,,26 servicio(s) pendiente/fuera; atraso máx. 887 hrs
Crítico,72.0,862407061554899,5801613M-727413940,NEW HOLLAND AG,6810,TEPSA,Puebla,1057.1,2,10,1,0,9,9,1007,540.3,8.3,28.4,2025-07-11 17:54:00,9 servicio(s) pendiente/fuera; atraso máx. 1007 hrs
