IMEI,Alias,Marca,Modelo,Configuracion,Fecha Alta,No. Serie,Distribuidor,Ciudad,Estado,Horometro,Odometro,Total,Cerrados,C.Fuera,Pendientes,50,300,600,900,1200,1500,1800,2100,2400,Latitud,Longitud,Combustible,Distancia,Vel. Maxima (kph),Vel. Promedio (kph),T. Encendido (hrs),T. Apagado (hrs),intervalos_con_info,intervalos_sin_info,edad_equipo
353738100801446,353738100801446,CASE CE,580N,Desconocido,2025-11-05,JJGN58NRERC787562,TRIOSA,Santa Maria Huatulco,Oaxaca,866.2,1.17,0,0,0,0,,,,,,,,,,15.735774,-96.1410745,0.0,0.8,7,0.0,0.0,24.0,0,9,1.0
353738100801875,211758/MAD. SUR,NEW HOLLAND AG,6610S,2WD,2021-07-19,S35473M-8054231,MADISAGRAL,Benito Juarez,Quintana Roo,4104.39,10589.07,14,2,0,12,,,,,,,,,Pendiente,21.04505,-86.8500295,0.0,0.0,0,0.0,0.0,24.0,1,8,5.0
353738100801909,227978/ MAD. SUR,NEW HOLLAND AG,6610S,2WD,2021-07-19,S35970M-8066088,MADISAGRAL,Ahumada,Chihuahua,5439.94,7.27,36,0,1,36,,,,,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,29.9624478,-106.2242938,0.0,0.0,0,0.0,0.0,24.0,5,4,5.0
353738100801933,R-MADISA-NH08490M-353738100801933,NEW HOLLAND AG,TS6.125,FWD 16X8 PS CABINA,2021-11-04,NH08490M-001591026,MADISAGRAL,San Juan Bautista Tuxtepec,Oaxaca,2263.87,0.0,8,1,0,7,Cerrada,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,,18.2858431,-96.1017685,0.0,0.0,0,0.0,0.0,24.0,8,1,5.0
353738100802188,TRACSA - Jal.,NEW HOLLAND AG,7610S HERENCIA,4WD,2021-08-17,S507241M,TRACSAGRAL,San Francisco del Rincon,Guanajuato,259.09,1279.43,1,1,0,0,Cerrada,,,,,,,,,21.1018316,-101.9925821,0.0,0.0,0,0.0,0.0,24.0,1,8,5.0
353738100803285,353738100803285,Desconocido,Desconocido,Desconocido,2024-07-26,ZLHZE117JR0B06666,MTM,Chilpancingo de los Bravo,Guerrero,0.0,5.5,0,0,0,0,,,,,,,,,,17.616819,-99.8416921,0.0,0.0,0,0.0,0.0,24.0,0,9,2.0
353738100805132,179566./MAD. SUR,NEW HOLLAND AG,6610S,2WD,2021-07-19,S34560M-8033509,MADISAGRAL,Abasolo,Nuevo Leon,0.0,0.0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,24.0,0,9,5.0
353738100817699,353738100817699,Desconocido,Desconocido,Desconocido,,Desconocido,Desconocido,Desconocido,Desconocido,0.0,0.0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9,
353738100817749,353738100817749,Desconocido,Desconocido,Desconocido,,Desconocido,Desconocido,Desconocido,Desconocido,0.0,0.0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9,
353738100817889,NORIA NUEVA01,Desconocido,Desconocido,Desconocido,2021-07-19,M543212,ARBSA,Pedro Escobedo,Queretaro,3494.69,17922.59,12,1,0,11,,,,,,,,,,20.5655951,-100.1028173,0.0,0.0,0,0.0,0.0,24.0,0,9,5.0
353738100818291,ARBOURS - S33301M,NEW HOLLAND AG,TS6.125,FWD 8X8 PS CABINA,2022-08-26,NH09100M,ARBSA,Ensenada,Baja California,5354.45,0.52,15,7,3,8,,,,,,,Cerrada,Pendiente,Cerrada,30.7782263,-116.0123638,0.0,0.0,0,0.0,0.0,24.0,3,6,4.0
353738100818309,S33516M,NEW HOLLAND AG,6610S,4WD,2021-06-04,S33516M,ATC,Abasolo,Nuevo Leon,0.0,0.0,9,2,6,7,,,Cerrada,CerradaFuera,CerradaFuera,CerradaFuera,CerradaFuera,,,0.0,0.0,0.0,0.0,0,0.0,0.0,24.0,5,4,5.0
353738100818317,353738100818317,Desconocido,Desconocido,Desconocido,,Desconocido,Desconocido,Desconocido,Desconocido,0.0,0.0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9,
353738100818341,353738100818341-TRACSA,CASE IH,125 MAXXUM,MAXXUM 125 MFD CAB,2021-07-19,ZLBE01544,TRACSAGRAL,Atoyac,Jalisco,1855.41,1483.62,27,0,0,27,,,,,,,,,,20.012991,-103.5178665,0.0,0.0,0,0.0,0.0,24.0,0,9,5.0
353738100818747,353738100818747,Desconocido,Desconocido,Desconocido,,Desconocido,Desconocido,Desconocido,Desconocido,0.0,0.0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9,
353738100819612,BOOMER,NEW HOLLAND AG,Desconocido,4WD,2021-07-19,J27ARF000167,ARBSA,Hermosillo,Sonora,662.91,1209.3,2,0,0,2,,Pendiente,Pendiente,,,,,,,29.1100861,-111.0333981,0.0,0.0,0,0.0,0.0,24.0,2,7,5.0
353738100819745,JD - 6403E,JOHN DEERE,6425,Desconocido,2021-06-04,1P06403XHM0040806,ATC,Abasolo,Nuevo Leon,0.0,0.0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,24.0,0,9,5.0
353738100820842,353738100820842,Desconocido,Desconocido,Desconocido,,Desconocido,Desconocido,Desconocido,Desconocido,0.0,0.0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9,
353738100820891,353738100820891,Desconocido,Desconocido,Desconocido,2024-06-14,Desconocido,Desconocido,Desconocido,Desconocido,0.0,0.0,0,0,0,0,,,,,,,,,,20.555863,-100.5939028,0.0,0.0,0,0.0,0.0,0.0,0,9,2.0
353738100823366,MTM-R-N7AF04414-353738100823366,CASE CE,Desconocido,Desconocido,2023-02-14,N7AF04414,MTM,Jantetelco,Morelos,719.79,0.1,0,0,0,0,,,,,,,,,,18.6682795,-98.8045858,0.0,0.0,0,0.0,0.0,24.0,0,9,3.0
353738100823374,MTM-NH1623279-353738100823374,NEW HOLLAND AG,TT4.80,TT4.80 - 2WD 12X12 PS,2022-12-09,NH1623279,MTM,Jantetelco,Morelos,1230.73,10.04,0,0,0,0,,,,,,,,,,18.6397193,-98.9261453,0.0,0.0,0,0.0,0.0,24.0,0,9,4.0
353738100823424,R- MTM 204513M,NEW HOLLAND AG,6610S,Desconocido,2022-04-29,S204513M,MTM,Zacatepec,Morelos,1746.97,128.42,0,0,0,0,,,,,,,,,,18.673531,-99.1279183,0.0,0.0,0,0.0,0.0,24.0,0,9,4.0
353738100823911,S204458M,NEW HOLLAND AG,6610S,2WD,2021-06-04,S204458M-8072366,MADISAGRAL,El Arenal,Hidalgo,117.89,634.81,2,1,0,1,Cerrada,,,,,,,,,20.2487366,-98.9728386,0.0,0.0,0,0.0,0.0,24.0,1,8,5.0
353738100830056,353738100830056,Desconocido,Desconocido,Desconocido,,Desconocido,Desconocido,Desconocido,Desconocido,0.0,0.0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9,
353738100830064,353738100830064,Desconocido,Desconocido,Desconocido,2021-01-25,Desconocido,ATC,Abasolo,Nuevo Leon,0.0,0.0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,24.0,0,9,5.0
353738100830155,Jesus Sierra - DASSA,NEW HOLLAND AG,TS6000,Desconocido,2021-07-19,Desconocido,DASSA,Los Mochis,Sinaloa,6650.95,0.0,1,1,0,0,,,,,,,,,,25.6910185,-108.8018513,0.0,0.0,0,0.0,0.0,24.0,0,9,5.0
353738100830650,670031/TRAC/GDL.,NEW HOLLAND AG,TD85F,Desconocido,2021-07-19,ZLAB50029,TRACSAGRAL,Abasolo,Nuevo Leon,0.0,0.0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,24.0,0,9,5.0
353738100830668,HFJ180212,CASE IH,105,Desconocido,2021-07-19,ZLJF00532,TRACSAGRAL,Ixtlan del Rio,Nayarit,5691.67,11.92,11,0,0,11,,,,,,,,,,20.9463821,-104.6515536,0.0,0.0,0,0.0,0.0,24.0,0,9,5.0
353738100830684,353738100830684,Desconocido,Desconocido,Desconocido,,Desconocido,Desconocido,Desconocido,Desconocido,0.0,0.0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9,
353738100831393,R-MADISA - 5800289M - 353738100831393,NEW HOLLAND AG,6810,4WD,2021-11-02,5800289M-727307476,MADISAGRAL,Cuitlahuac,Veracruz de Ignacio de la Llave,3264.83,15.49,12,1,11,11,Cerrada,CerradaFuera,CerradaFuera,CerradaFuera,CerradaFuera,CerradaFuera,CerradaFuera,CerradaFuera,CerradaFuera,18.8183308,-96.7702445,0.0,0.0,0,0.0,0.0,24.0,9,0,5.0
353738100831724,AARON LUKE,Desconocido,Desconocido,Desconocido,2021-07-19,NH08585M,DASSA,Guasave,Sinaloa,7847.69,0.0,5,0,0,5,,,,,,,,,,25.5856148,-108.4826286,0.0,0.0,0,0.0,0.0,24.0,0,9,5.0
353738100831997,TRACTIESA-R-T049904M-353738100831997,NEW HOLLAND AG,WORKMASTER 40,"FWD, ROPS",2022-08-11,LSM0W40RLN0310506,TRACTIESA,Tenancingo,Mexico,2300.0,197.07,0,0,0,0,,,,,,,,,,18.9754828,-99.6252941,0.0,0.0,0,0.0,0.0,24.0,0,9,4.0
353738100832078,CAMILO GUTIERREZ,NEW HOLLAND AG,TS6.125,2WD 8X8 MS CABINA,2021-07-19,NH08955M,DASSA,Abasolo,Nuevo Leon,0.0,0.0,7,6,0,1,,,,,,,Cerrada,Cerrada,,0.0,0.0,0.0,0.0,0,0.0,0.0,24.0,2,7,5.0
353738100832268,353738100832268,NEW HOLLAND AG,T7060,T7060 4WD CAB,2024-03-01,ZPBG00628,ATC,Teziutlan,Puebla,346.2,46.11,0,0,0,0,,,,,,,,,,19.6426966,-97.2897563,0.0,0.0,0,0.0,0.0,24.0,0,9,2.0
353738100832284,353738100832284,CASE IH,210 Puma,"FWD, CABINA, FPS, EDC",2020-11-04,ZNBH00200-001877509,JORDAN,San Luis Rio Colorado,Sonora,3981.58,1365.02,0,0,0,0,,,,,,,,,,32.3972763,-115.105995,0.0,0.0,0,0.0,0.0,24.0,0,9,6.0
353738100835246,353738100835246,Desconocido,Desconocido,Desconocido,,Desconocido,Desconocido,Desconocido,Desconocido,0.0,0.0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9,
353738100835303,MADISA - 48-P023391-TT75,NEW HOLLAND AG,TT75,FWD,2021-07-19,T049491M-715307458,MADISAGRAL,Epitacio Huerta,Michoacan de Ocampo,805.31,11.52,3,1,0,2,Cerrada,Pendiente,Pendiente,,,,,,,20.12181,-100.2858111,0.0,0.0,0,0.0,0.0,24.0,3,6,5.0
353738100835311,1S-21/ VINEDOSM,NEW HOLLAND AG,6610S,2WD,2021-06-04,5800069M,ARBSA,Abasolo,Nuevo Leon,0.0,0.0,7,0,0,7,,,,Pendiente,Pendiente,Pendiente,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,24.0,3,6,5.0
353738100836517,VYERA,CASE IH,115U Farmall,Desconocido,2021-07-19,ZEJL13392,ARBSA,Huatabampo,Sonora,7792.08,340.49,0,0,0,0,,,,,,,,,,26.8405171,-109.6305785,0.0,0.0,0,0.0,0.0,24.0,0,9,5.0
353738100837838,R-MADISA.- 535470M - 353738100837838,NEW HOLLAND AG,6610S,4WD,2021-11-02,S35470M-8054234,MADISAGRAL,Paso del Macho,Veracruz de Ignacio de la Llave,82.06,0.0,1,0,0,1,Pendiente,,,,,,,,,19.056716,-96.7655465,0.0,0.0,0,0.0,0.0,24.0,1,8,5.0
353738100838240,353738100838240,Desconocido,Desconocido,Desconocido,,Desconocido,Desconocido,Desconocido,Desconocido,0.0,0.0,0,0,0,0,,,,,,,,,,20.6854641,-100.3254416,0.0,0.0,0,0.0,0.0,0.0,0,9,
353738100838364,353738100838364,NEW HOLLAND AG,TS6.140,Desconocido,2023-05-23,NH09602M,ARBSA,San Luis Rio Colorado,Sonora,2674.33,5350.51,0,0,0,0,,,,,,,,,,32.2912635,-114.9682825,0.0,0.0,0,0.0,0.0,24.0,0,9,3.0
353738100838406,MTM-353738100838406,Desconocido,Desconocido,Desconocido,2023-04-25,N5D175004,MTM,Chietla,Puebla,874.79,28.02,0,0,0,0,,,,,,,,,,18.3261931,-98.8429185,0.0,0.0,0,0.0,0.0,24.0,0,9,3.0
353738100838430,353738100838430,Desconocido,Desconocido,Desconocido,,Desconocido,Desconocido,Desconocido,Desconocido,0.0,0.0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9,
353738100838729,48-P023134-7610S,NEW HOLLAND AG,Desconocido,2WD,2021-07-19,S402568M-8076371,MADISAGRAL,Santiago de Anaya,Hidalgo,745.03,7.05,5,2,0,3,Cerrada,Cerrada,Pendiente,,,,,,,20.6767335,-98.8232246,0.0,0.0,0,0.0,0.0,24.0,3,6,5.0
353738100839024,S57049M,Desconocido,Desconocido,Desconocido,2021-01-18,Desconocido,Desconocido,Desconocido,Desconocido,0.0,0.0,2,0,0,2,,,,,,,,,,20.8361315,-103.7348248,0.0,0.0,0,0.0,0.0,0.0,0,9,5.0
353738100842515,DASSA-NH09493M,NEW HOLLAND AG,TS6.125,FWD 8X8 PS,2021-08-18,NH09493M,DASSA,Ahome,Sinaloa,2494.69,422.7,9,7,0,2,Cerrada,Cerrada,Cerrada,Cerrada,Cerrada,Cerrada,Cerrada,Pendiente,Pendiente,25.9102915,-109.1606655,0.0,0.0,0,0.0,0.0,24.0,9,0,5.0
353738100845815,S306107M/MADISAPAC,NEW HOLLAND AG,6610S,4WD,2022-07-19,S306107M-8072192,MADISAGRAL,Huichapan,Hidalgo,1054.02,27.32,5,0,1,5,Pendiente,Pendiente,Pendiente,CerradaFuera,,,,,,20.4382358,-99.607729,0.0,0.0,0,0.0,0.0,24.0,4,5,4.0
353738100845872,AGRICOLA ALBORO ECO 25,NEW HOLLAND AG,6810,4WD,2021-07-19,5800144m,ARBSA,Cajeme,Sonora,3724.0,13422.97,33,0,0,33,,,,,,,,Pendiente,,27.4689523,-110.084097,0.0,0.0,0,0.0,0.0,24.0,1,8,5.0
353738100847381,7610S 2WD-6,NEW HOLLAND AG,7610S,2WD,2021-07-19,S42389M,Desconocido,Desconocido,Desconocido,0.0,0.0,13,0,9,13,,,,,,,,,,23.8990613,-106.9287848,0.0,0.0,0,0.0,0.0,0.0,0,9,5.0
353738100847407,CE NH L230,CASE IH,FARMALL JX90,2WD ROPS,2023-09-18,HFJ182271,ARBSA,Pedro Escobedo,Queretaro,12179.82,190.77,11,0,8,11,,,,,,,,,,20.5348596,-100.2123615,0.0,0.0,0,0.0,0.0,24.0,0,9,3.0
353738100848926,R-MADISA-5800247M-353738100848926,NEW HOLLAND AG,6810,4WD,2021-11-03,5800247M-727268046,MADISAGRAL,Omealca,Veracruz de Ignacio de la Llave,568.91,86.56,3,2,1,1,Cerrada,Cerrada,CerradaFuera,,,,,,,18.7591843,-96.8063466,0.0,0.0,0,0.0,0.0,24.0,3,6,5.0
353738100848991,353738100848991,JOHN DEERE,6603,Desconocido,2024-06-14,1P06603XEM0041840,ATC,Tamuin,San Luis Potosi,3756.8,209.15,0,0,0,0,,,,,,,,,,21.9591635,-98.747562,0.0,0.0,0,0.0,0.0,24.0,0,9,2.0
353738100850831,353738100850831,Desconocido,Desconocido,Desconocido,2025-05-15,LG-61-320,MADISAGRAL,Pachuca de Soto,Hidalgo,0.0,232.97,0,0,0,0,,,,,,,,,,20.0582198,-98.8022865,0.0,0.0,0,0.0,0.0,24.0,0,9,1.0
353738100850849,353738100850849,CASE IH,MAXXUM 125,MAXXUM 125 MFD CAB,2023-02-08,ZLBE01147,ATC,San Jose Iturbide,Guanajuato,4772.71,995.44,0,0,0,0,,,,,,,,,,20.9584403,-100.4039631,0.0,0.0,0,0.0,0.0,24.0,0,9,3.0
353738100851086,T049573M/ MADPAC,NEW HOLLAND AG,TT75,FWD,2021-08-27,T049573M-715310213,MADISAGRAL,Huichapan,Hidalgo,996.99,7336.94,4,2,0,2,Cerrada,Cerrada,Pendiente,Pendiente,,,,,,20.5166736,-99.6778533,0.0,0.0,0,0.0,0.0,24.0,4,5,5.0
353738100851094,353738100851094,NEW HOLLAND AG,7810,Desconocido,2021-07-28,5800007M,MTM,Ayapango,Mexico,3300.16,1353.27,7,3,0,4,Cerrada,Cerrada,Cerrada,Pendiente,Pendiente,Pendiente,Pendiente,,,19.0900361,-98.8521578,0.0,0.0,0,0.0,0.0,24.0,7,2,5.0
353738100851144,353738100851144,Desconocido,Desconocido,Desconocido,2021-07-19,Desconocido,Desconocido,Desconocido,Desconocido,0.0,0.0,13,0,0,13,,,,,,,,,,19.2549708,-99.6711606,0.0,0.0,0,0.0,0.0,0.0,0,9,5.0
353738100851201,353738100851201,Desconocido,Desconocido,Desconocido,2024-04-25,Desconocido,Desconocido,Desconocido,Desconocido,0.0,0.0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9,2.0
353738100851284,T49361M/MAD PACHUCA,NEW HOLLAND AG,TT75,2WD R30/R38,2021-01-25,T49342M-715270606,MADISAGRAL,Cadereyta de Montes,Queretaro,1976.57,113.6,8,4,1,4,Cerrada,Cerrada,Cerrada,Pendiente,Pendiente,Pendiente,CerradaFuera,,,20.5676661,-99.6769186,0.0,0.0,0,0.0,0.0,24.0,7,2,5.0
353738100851292,353738100851292,Desconocido,Desconocido,Desconocido,,Desconocido,Desconocido,Desconocido,Desconocido,0.0,0.0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9,
353738100851318,DISTRIBUIDOR CAPASA INTERMAK,CASE IH,FARMALL JX90,4WD,2021-07-19,HFJ180731,CAPASA,Navolato,Sinaloa,4572.09,5.63,29,0,1,29,,,,,,,,,,24.6631785,-107.5522786,0.0,0.0,0,0.0,0.0,24.0,0,9,5.0
353738100851342,42-P022499-TS6.120,NEW HOLLAND AG,TS6.120,FWD 8X8 MS,2021-07-19,NH08868M-001687894,MADISAGRAL,Abasolo,Nuevo Leon,0.0,0.0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,24.0,0,9,5.0
353738100851367,TEPSA - IPSA,CAT,930H,Desconocido,2024-10-15,CAT0320DTHFM00328,TEPSA,San Martin Texmelucan,Puebla,116.08,4.34,19,0,0,19,,,,,,,,,,19.2717475,-98.4421066,0.0,0.0,0,0.0,0.0,24.0,0,9,2.0
353738100851375,353738100851375,CASE IH,115U Farmall,Desconocido,2021-07-19,ZJFL13348,Desconocido,Desconocido,Desconocido,0.0,0.0,0,0,0,0,,,,,,,,,,18.5655241,-96.3019885,0.0,0.0,0,0.0,0.0,0.0,0,9,5.0
353738100851383,48-P023463-FJX90,CASE IH,90JX,HC,2021-07-19,HFJ179770-496095,MADISAGRAL,Yuriria,Guanajuato,3219.37,210.22,28,0,0,28,,,,,,,,,,20.2245073,-101.0226343,0.0,0.0,0,0.0,0.0,24.0,0,9,5.0
353738100851391,NH09693M/MADISA,NEW HOLLAND AG,TS6.110,2WD 8X8 PS,2021-07-28,NH09693M-001858052,MADISAGRAL,Panuco,Veracruz de Ignacio de la Llave,296.34,775.69,1,1,0,0,Cerrada,,,,,,,,,21.8183508,-98.0057481,0.0,0.0,0,0.0,0.0,24.0,1,8,5.0
